Player,Overs,Mdns,Runs,WktsDescending,Econ,Inns,Opposition,Ground,Start Date,Team
JE Root,3,0,13,0,4.33,2,Australia,Perth,12/14/2017,England
DJ Malan,6,1,13,0,2.16,2,Australia,Perth,12/14/2017,England
SCJ Broad,3,1,13,0,4.33,4,Pakistan,Lord's,5/24/2018,England
I Sharma,8,3,13,0,1.62,3,England,The Oval,9/7/2018,India
SC Williams,8,2,13,0,1.62,4,Bangladesh,Sylhet,11/3/2018,Zimbabwe
TM Head,2,0,13,0,6.5,3,India,Adelaide,12/6/2018,Australia
KS Williamson,2,0,13,0,6.5,3,Bangladesh,Hamilton,2/28/2019,New Zealand
Mominul Haque,10,6,13,0,1.3,3,Afghanistan,Chattogram,9/5/2019,Bangladesh
JL Denly,3,0,13,0,4.33,1,New Zealand,Hamilton,11/29/2019,England
TM Head,5,1,13,0,2.6,4,New Zealand,Perth,12/12/2019,Australia
M Labuschagne,5,0,13,0,2.6,4,New Zealand,Perth,12/12/2019,Australia
TA Blundell,3,0,13,0,4.33,1,Australia,Melbourne,12/26/2019,New Zealand
MS Wade,1,0,13,0,13,2,New Zealand,Melbourne,12/26/2019,Australia
GF Linde,3,0,13,0,4.33,4,Pakistan,Karachi,1/26/2021,South Africa
KC Brathwaite,4,0,13,0,3.25,1,Bangladesh,Chattogram,2/3/2021,West Indies
NE Bonner,2,0,13,0,6.5,3,Bangladesh,Chattogram,2/3/2021,West Indies
I Sharma,6,3,13,0,2.16,4,England,Chennai,2/13/2021,India
D Myers,3,1,13,0,4.33,1,Bangladesh,Harare,7/7/2021,Zimbabwe
Yasir Shah,3,0,13,0,4.33,4,West Indies,Kingston,8/12/2021,Pakistan
KR Mayers,2,0,13,0,6.5,1,Sri Lanka,Galle,11/29/2021,West Indies
Mohammed Siraj,5,2,13,0,2.6,4,New Zealand,Wankhede,12/3/2021,India
JG Bracewell,4,0,14,0,3.5,4,West Indies,Kingston,5/4/1985,New Zealand
MW Gatting,4,0,14,0,3.5,3,Australia,Manchester,8/1/1985,England
MD Crowe,5,0,14,0,2.8,1,Australia,Brisbane,11/8/1985,New Zealand
RJ Shastri,5,2,14,0,2.8,1,Sri Lanka,Nagpur,12/27/1986,India
C Sharma,5,0,14,0,2.8,3,Sri Lanka,Nagpur,12/27/1986,India
B Arun,2,0,14,0,7,3,Sri Lanka,Cuttack,1/4/1987,India
MC Snedden,6,1,14,0,2.33,1,West Indies,Christchurch,3/12/1987,New Zealand
Abdul Qadir,5,0,14,0,2.8,1,England,Leeds,7/2/1987,Pakistan
PR Sleep,14,5,14,0,1,3,New Zealand,Brisbane,12/4/1987,Australia
Sir RJ Hadlee,8,3,14,0,1.75,4,Australia,Brisbane,12/4/1987,New Zealand
Saleem Malik,7,2,14,0,2,3,England,Karachi,12/16/1987,Pakistan
SR Waugh,8,4,14,0,1.75,3,Sri Lanka,Perth,2/12/1988,Australia
SR Waugh,6,0,14,0,2.33,4,West Indies,Brisbane,11/18/1988,Australia
RGM Patel,4,0,14,0,3.5,1,New Zealand,Wankhede,11/24/1988,India
CL Hooper,3,0,14,0,4.66,1,Australia,Adelaide,2/3/1989,West Indies
JG Bracewell,3,0,14,0,4.66,2,India,Christchurch,2/2/1990,New Zealand
DM Jones,6,3,14,0,2.33,4,New Zealand,Wellington,3/15/1990,Australia
IVA Richards,9,4,14,0,1.55,2,England,Bridgetown,4/5/1990,West Indies
MA Atherton,3,0,14,0,4.66,4,Australia,Melbourne,12/26/1990,England
KPJ Warnaweera,6,1,14,0,2.33,1,New Zealand,Wellington,1/31/1991,Sri Lanka
PA de Silva,2,0,14,0,7,3,New Zealand,Hamilton,2/22/1991,Sri Lanka
UC Hathurusinghe,7,3,14,0,2,2,New Zealand,Colombo (SSC),12/6/1992,Sri Lanka
ML Su'a,2,0,14,0,7,4,Sri Lanka,Colombo (SSC),12/6/1992,New Zealand
Aaqib Javed,8,2,14,0,1.75,4,New Zealand,Hamilton,1/2/1993,Pakistan
KLT Arthurton,5,1,14,0,2.8,3,Australia,Sydney,1/2/1993,West Indies
PW Jarvis,8,2,14,0,1.75,4,Sri Lanka,Colombo (SSC),3/13/1993,England
GP Thorpe,6,1,14,0,2.33,1,Australia,Leeds,7/22/1993,England
MC Ilott,2,0,14,0,7,4,Australia,Birmingham,8/5/1993,England
A Ranatunga,4,0,14,0,3.5,1,India,Bengaluru,1/26/1994,Sri Lanka
SLV Raju,4,0,14,0,3.5,2,Sri Lanka,Bengaluru,1/26/1994,India
ME Waugh,6,2,14,0,2.33,3,South Africa,Johannesburg,3/4/1994,Australia
CR Matthews,6,1,14,0,2.33,4,Australia,Cape Town,3/17/1994,South Africa
KCG Benjamin,2.833333333333333,1,14,0,4.94,4,Australia,Bridgetown,3/31/1995,West Indies
GW Flower,3,1,14,0,4.66,2,South Africa,Harare,10/13/1995,Zimbabwe
WJ Cronje,8,5,14,0,1.75,1,England,Centurion,11/16/1995,South Africa
RG Twose,5,1,14,0,2.8,2,Zimbabwe,Hamilton,1/13/1996,New Zealand
MM Patel,2,0,14,0,7,1,India,Birmingham,6/6/1996,England
Mohammad Hussain,4,1,14,0,3.5,3,Zimbabwe,Faisalabad,10/24/1996,Pakistan
M Mbangwa,7,3,14,0,2,4,Pakistan,Faisalabad,10/24/1996,Zimbabwe
CL Hooper,5,1,14,0,2.8,1,Australia,Melbourne,12/26/1996,West Indies
GD McGrath,4,1,14,0,3.5,4,West Indies,Perth,2/1/1997,Australia
VVS Laxman,3,0,14,0,4.66,1,West Indies,Kingston,3/6/1997,India
VVS Laxman,3,0,14,0,4.66,3,West Indies,Kingston,3/6/1997,India
PR Reiffel,9,3,14,0,1.55,2,England,Manchester,7/3/1997,Australia
MA Butcher,2,0,14,0,7,2,Australia,Leeds,7/24/1997,England
DL Vettori,4,0,14,0,3.5,1,Zimbabwe,Harare,9/18/1997,New Zealand
GJ Whittall,6,1,14,0,2.33,2,New Zealand,Bulawayo,9/25/1997,Zimbabwe
EZ Matambanadzo,2,0,14,0,7,4,New Zealand,Bulawayo,9/25/1997,Zimbabwe
L Klusener,6,1,14,0,2.33,2,Pakistan,Sheikhupura,10/17/1997,South Africa
NJ Astle,1,0,14,0,14,3,Australia,Brisbane,11/7/1997,New Zealand
Arshad Khan,4,1,14,0,3.5,1,West Indies,Peshawar,11/17/1997,Pakistan
Azhar Mahmood,10,3,14,0,1.4,1,West Indies,Karachi,12/6/1997,Pakistan
DW Headley,2,0,14,0,7,4,West Indies,Bridgetown,3/12/1998,England
PA de Silva,5,1,14,0,2.8,4,South Africa,Centurion,3/27/1998,Sri Lanka
PA de Silva,2,0,14,0,7,3,New Zealand,Colombo (RPS),5/27/1998,Sri Lanka
PA de Silva,3,0,14,0,4.66,4,New Zealand,Colombo (SSC),6/10/1998,Sri Lanka
Shahid Afridi,4,1,14,0,3.5,1,India,Delhi,2/4/1999,Pakistan
CD McMillan,3.6666666666666665,0,14,0,3.81,4,England,Birmingham,7/1/1999,New Zealand
NJ Astle,11,5,14,0,1.27,1,England,Manchester,8/5/1999,New Zealand
ST Jayasuriya,9,2,14,0,1.55,1,Australia,Colombo (SSC),9/30/1999,Sri Lanka
NC Johnson,2,0,14,0,7,2,Australia,Harare,10/14/1999,Zimbabwe
Wasim Akram,4,0,14,0,3.5,4,Australia,Brisbane,11/5/1999,Pakistan
HK Olonga,5,1,14,0,2.8,4,Sri Lanka,Harare,11/26/1999,Zimbabwe
GW Flower,18,9,14,0,0.77,2,West Indies,Kingston,3/24/2000,Zimbabwe
CRD Fernando,3,0,14,0,4.66,4,Pakistan,Colombo (SSC),6/14/2000,Sri Lanka
S Ramesh,3,0,14,0,4.66,3,Zimbabwe,Nagpur,11/25/2000,India
JH Kallis,6,1,14,0,2.33,4,Sri Lanka,Durban,12/26/2000,South Africa
WW Hinds,3.5,0,14,0,4,3,South Africa,St John's,4/6/2001,West Indies
ME Trescothick,3,0,14,0,4.66,1,Pakistan,Manchester,5/31/2001,England
GW Flower,6,3,14,0,2.33,2,West Indies,Harare,7/27/2001,Zimbabwe
NJ Astle,5,1,14,0,2.8,2,Australia,Perth,11/30/2001,New Zealand
ME Waugh,6,1,14,0,2.33,3,South Africa,Sydney,1/2/2002,Australia
CW Henderson,2,0,14,0,7,4,Australia,Sydney,1/2/2002,South Africa
Saqlain Mushtaq,7,2,14,0,2,1,Bangladesh,Dhaka,1/9/2002,Pakistan
Saqlain Mushtaq,5,1,14,0,2.8,3,Bangladesh,Dhaka,1/9/2002,Pakistan
TT Samaraweera,5,1,14,0,2.8,2,Zimbabwe,Galle,1/12/2002,Sri Lanka
Shahid Afridi,2,0,14,0,7,4,West Indies,Sharjah,2/7/2002,Pakistan
CH Gayle,3,0,14,0,4.66,3,India,Bridgetown,5/2/2002,West Indies
SR Tendulkar,2,0,14,0,7,3,England,Lord's,7/25/2002,India
ST Jayasuriya,9,4,14,0,1.55,4,Bangladesh,Colombo (SSC),7/28/2002,Sri Lanka
SB Bangar,6,3,14,0,2.33,2,West Indies,Eden Gardens,10/30/2002,India
DR Martyn,3,1,14,0,4.66,3,England,Sydney,1/2/2003,Australia
PT Collins,6,2,14,0,2.33,4,Australia,Georgetown,4/10/2003,West Indies
Mohammad Hafeez,7,2,14,0,2,1,Bangladesh,Karachi,8/20/2003,Pakistan
GC Smith,8,1,14,0,1.75,2,Pakistan,Lahore,10/17/2003,South Africa
Khaled Mahmud,3,1,14,0,4.66,4,England,Dhaka,10/21/2003,Bangladesh
GC Smith,2,0,14,0,7,2,New Zealand,Hamilton,3/10/2004,South Africa
MJ Saggers,6,2,14,0,2.33,3,New Zealand,Nottingham,6/10/2004,England
TL Best,3,1,14,0,4.66,3,England,Lord's,7/22/2004,West Indies
DS Lehmann,6,3,14,0,2.33,4,India,Bengaluru,10/6/2004,Australia
JEC Franklin,5,1,14,0,2.8,3,Bangladesh,Dhaka,10/19/2004,New Zealand
Aftab Ahmed,4,0,14,0,3.5,1,India,Chattogram,12/17/2004,Bangladesh
AJ Hall,9,1,14,0,1.55,4,England,Gqeberha,12/17/2004,South Africa
SM Pollock,5,1,14,0,2.8,3,Zimbabwe,Cape Town,3/4/2005,South Africa
SK Warne,3.333333333333333,0,14,0,4.2,3,New Zealand,Wellington,3/18/2005,Australia
SR Tendulkar,3,0,14,0,4.66,1,Pakistan,Bengaluru,3/24/2005,India
WW Hinds,2,0,14,0,7,4,South Africa,Port of Spain,4/8/2005,West Indies
DPMD Jayawardene,6,2,14,0,2.33,2,New Zealand,Wellington,4/11/2005,Sri Lanka
BRM Taylor,1,0,14,0,14,1,New Zealand,Harare,8/7/2005,Zimbabwe
SM Katich,3,0,14,0,4.66,1,England,The Oval,9/8/2005,Australia
SC Ganguly,6,1,14,0,2.33,1,Pakistan,Lahore,1/13/2006,India
V Sehwag,1,0,14,0,14,3,England,Nagpur,3/1/2006,India
JN Gillespie,4,0,14,0,3.5,3,Bangladesh,Chattogram,4/16/2006,Australia
N Boje,5,1,14,0,2.8,3,New Zealand,Cape Town,4/27/2006,South Africa
PD Collingwood,3,0,14,0,4.66,1,Pakistan,Manchester,7/27/2006,England
KP Pietersen,1,0,14,0,14,2,Pakistan,Leeds,8/4/2006,England
Shoaib Malik,5,1,14,0,2.8,3,West Indies,Lahore,11/11/2006,Pakistan
KP Pietersen,3,0,14,0,4.66,3,Australia,Brisbane,11/23/2006,England
Mohammad Asif,6,1,14,0,2.33,3,South Africa,Karachi,10/1/2007,Pakistan
Mohammad Asif,4,1,14,0,3.5,3,South Africa,Lahore,10/8/2007,Pakistan
Younis Khan,2,0,14,0,7,1,India,Bengaluru,12/8/2007,Pakistan
SR Tendulkar,5,0,14,0,2.8,1,Australia,Sydney,1/2/2008,India
JH Kallis,8,2,14,0,1.75,3,West Indies,Durban,1/10/2008,South Africa
MJ Clarke,6,1,14,0,2.33,1,India,Perth,1/16/2008,Australia
RP Singh,4,0,14,0,3.5,2,Australia,Adelaide,1/24/2008,India
KP Pietersen,2,0,14,0,7,4,New Zealand,Napier,3/22/2008,England
MEK Hussey,6,2,14,0,2.33,4,West Indies,North Sound,5/30/2008,Australia
KP Pietersen,4,0,14,0,3.5,2,South Africa,Leeds,7/18/2008,England
JDP Oram,20,14,14,0,0.7,1,Bangladesh,Chattogram,10/17/2008,New Zealand
A Kumble,4,0,14,0,3.5,4,Australia,Delhi,10/29/2008,India
V Sehwag,2,0,14,0,7,4,Australia,Delhi,10/29/2008,India
A Symonds,11,3,14,0,1.27,2,South Africa,Melbourne,12/26/2008,Australia
MJ Clarke,3,0,14,0,4.66,4,South Africa,Melbourne,12/26/2008,Australia
KP Pietersen,2,0,14,0,7,2,West Indies,St John's,2/15/2009,England
JP Duminy,3,1,14,0,4.66,3,Australia,Cape Town,3/19/2009,South Africa
MJ North,7,4,14,0,2,3,England,Cardiff,7/8/2009,Australia
Mohammad Ashraful,3,0,14,0,4.66,1,West Indies,St George's,7/17/2009,Bangladesh
JH Kallis,6,0,14,0,2.33,2,India,Nagpur,2/6/2010,South Africa
Naeem Islam,3,0,14,0,4.66,3,England,Chattogram,3/12/2010,Bangladesh
PD Collingwood,7,2,14,0,2,3,Pakistan,Birmingham,8/6/2010,England
DJG Sammy,9,2,14,0,1.55,3,Sri Lanka,Galle,11/15/2010,West Indies
A Mukund,2,0,14,0,7,3,West Indies,Roseau,7/6/2011,India
RT Ponting,2,0,14,0,7,2,Sri Lanka,Colombo (SSC),9/16/2011,Australia
Naeem Islam,4,0,14,0,3.5,1,West Indies,Mirpur,10/29/2011,Bangladesh
I Sharma,5,2,14,0,2.8,2,West Indies,Eden Gardens,11/14/2011,India
Yuvraj Singh,3,0,14,0,4.66,3,West Indies,Eden Gardens,11/14/2011,India
MEK Hussey,5,0,14,0,2.8,3,South Africa,Johannesburg,11/17/2011,Australia
IJL Trott,2,0,14,0,7,3,Pakistan,Dubai (DSC),2/3/2012,England
DW Steyn,15,9,14,0,0.93,4,New Zealand,Wellington,3/23/2012,South Africa
SR Watson,12,5,14,0,1.16,2,West Indies,Port of Spain,4/15/2012,Australia
N Deonarine,2,0,14,0,7,3,Australia,Port of Spain,4/15/2012,West Indies
N Deonarine,4,0,14,0,3.5,1,Australia,Roseau,4/23/2012,West Indies
IJL Trott,6,0,14,0,2.33,3,West Indies,Lord's,5/17/2012,England
MN Samuels,6,2,14,0,2.33,1,New Zealand,North Sound,7/25/2012,West Indies
IJL Trott,6,1,14,0,2.33,1,South Africa,Lord's,8/16/2012,England
CH Gayle,3,0,14,0,4.66,2,Bangladesh,Mirpur,11/13/2012,West Indies
Rubel Hossain,2,0,14,0,7,4,West Indies,Khulna,11/21/2012,Bangladesh
DA Warner,3,0,14,0,4.66,3,South Africa,Perth,11/30/2012,Australia
N Pradeep,2,0,14,0,7,4,Australia,Sydney,1/3/2013,Sri Lanka
D Elgar,2,0,14,0,7,1,Pakistan,Cape Town,2/14/2013,South Africa
DA Warner,1,0,14,0,14,2,India,Hyderabad,3/2/2013,Australia
Shakib Al Hasan,7,3,14,0,2,1,Zimbabwe,Harare,4/17/2013,Bangladesh
DAJ Bracewell,5,0,14,0,2.8,4,Bangladesh,Chattogram,10/9/2013,New Zealand
RJ Peterson,1.8333333333333333,0,14,0,7.63,4,Pakistan,Abu Dhabi,10/14/2013,South Africa
JDS Neesham,6,1,14,0,2.33,2,West Indies,Kingston,6/8/2014,New Zealand
M Vijay,5,0,14,0,2.8,1,Australia,Melbourne,12/26/2014,India
SR Watson,6,1,14,0,2.33,4,India,Melbourne,12/26/2014,Australia
J Blackwood,1,0,14,0,14,2,England,St George's,4/21/2015,West Indies
CJ Anderson,5,1,14,0,2.8,1,England,Lord's,5/21/2015,New Zealand
Azhar Ali,5,1,14,0,2.8,3,Sri Lanka,Pallekele,7/3/2015,Pakistan
KC Brathwaite,5,0,14,0,2.8,1,Sri Lanka,Galle,10/14/2015,West Indies
MR Marsh,3,1,14,0,4.66,2,West Indies,Hobart,12/10/2015,Australia
CJ Anderson,3,0,14,0,4.66,4,Australia,Christchurch,2/20/2016,New Zealand
Mohammed Shami,6,2,14,0,2.33,1,West Indies,Port of Spain,8/18/2016,India
CR Woakes,2,0,14,0,7,3,Bangladesh,Mirpur,10/28/2016,England
JR Hazlewood,6,2,14,0,2.33,4,India,Dharamsala,3/25/2017,Australia
T Bavuma,5,0,14,0,2.8,1,England,Lord's,7/6/2017,South Africa
Nasir Hossain,6,2,14,0,2.33,2,Australia,Chattogram,9/4/2017,Bangladesh
MR Marsh,3,1,14,0,4.66,3,England,Perth,12/14/2017,Australia
HH Pandya,9,1,14,0,1.55,3,South Africa,Centurion,1/13/2018,India
ST Gabriel,5,0,14,0,2.8,1,Bangladesh,North Sound,7/4/2018,West Indies
RL Chase,4,0,14,0,3.5,4,India,Hyderabad,10/12/2018,West Indies
Mahmudullah,2,0,14,0,7,2,Zimbabwe,Mirpur,11/11/2018,Bangladesh
RAS Lakmal,4,0,14,0,3.5,3,England,Pallekele,11/14/2018,Sri Lanka
SCJ Broad,5,0,14,0,2.8,4,Sri Lanka,Colombo (SSC),11/23/2018,England
AY Patel,3,0,14,0,4.66,1,Sri Lanka,Wellington,12/15/2018,New Zealand
FDM Karunaratne,3,0,14,0,4.66,2,Australia,Brisbane,1/24/2019,Sri Lanka
Yamin Ahmadzai,4,1,14,0,3.5,4,Bangladesh,Chattogram,9/5/2019,Afghanistan
JE Root,3,0,14,0,4.66,1,New Zealand,Hamilton,11/29/2019,England
BKG Mendis,1,0,14,0,14,2,Pakistan,Rawalpindi,12/11/2019,Sri Lanka
C de Grandhomme,5,0,14,0,2.8,3,Australia,Melbourne,12/26/2019,New Zealand
AS Joseph,2,0,14,0,7,3,England,Manchester,7/16/2020,West Indies
Shan Masood,3,0,14,0,4.66,2,England,Southampton,8/13/2020,Pakistan
CR Woakes,8,2,14,0,1.75,3,Pakistan,Southampton,8/21/2020,England
JC Archer,14,8,14,0,1,3,Pakistan,Southampton,8/21/2020,England
KC Brathwaite,3,0,14,0,4.66,1,New Zealand,Hamilton,12/3/2020,West Indies
JR Hazlewood,3,1,14,0,4.66,4,India,Melbourne,12/26/2020,Australia
SCJ Broad,17,11,14,0,0.82,3,Sri Lanka,Galle,1/14/2021,England
JE Root,2,0,14,0,7,2,India,Chennai,2/5/2021,England
AD Mathews,7,1,14,0,2,1,Bangladesh,Pallekele,4/21/2021,Sri Lanka
RAS Lakmal,4,2,14,0,3.5,4,Bangladesh,Pallekele,4/29/2021,Sri Lanka
Faheem Ashraf,7,3,14,0,2,1,Zimbabwe,Harare,4/29/2021,Pakistan
RL Chase,9,5,14,0,1.55,2,South Africa,Gros Islet,6/10/2021,West Indies
KC Brathwaite,5,0,14,0,2.8,1,South Africa,Gros Islet,6/18/2021,West Indies
PWA Mulder,4,0,14,0,3.5,4,West Indies,Gros Islet,6/18/2021,South Africa
PVD Chameera,8,0,14,0,1.75,2,West Indies,Galle,11/21/2021,Sri Lanka
M Labuschagne,3,0,14,0,4.66,3,England,Brisbane,12/8/2021,Australia
GP Howarth,4,1,15,0,3.75,1,West Indies,Georgetown,4/6/1985,New Zealand
Sir RJ Hadlee,5,1,15,0,3,4,West Indies,Kingston,5/4/1985,New Zealand
MD Crowe,5,2,15,0,3,2,Australia,Sydney,11/22/1985,New Zealand
JV Coney,9,1,15,0,1.66,4,Australia,Sydney,11/22/1985,New Zealand
NA Foster,2.833333333333333,0,15,0,5.29,4,West Indies,Port of Spain,4/3/1986,England
GA Gooch,4,1,15,0,3.75,1,New Zealand,The Oval,8/21/1986,England
CD Matthews,2,0,15,0,7.5,3,England,Perth,11/28/1986,Australia
SM Gavaskar,4,1,15,0,3.75,3,Pakistan,Ahmedabad,3/4/1987,India
Iqbal Qasim,3,0,15,0,5,3,Australia,Lahore,10/7/1988,Pakistan
RJ Shastri,6,2,15,0,2.5,1,New Zealand,Hyderabad (Deccan),12/2/1988,India
IR Bishop,9,3,15,0,1.66,2,India,Georgetown,3/25/1989,West Indies
CA Walsh,10,4,15,0,1.5,4,India,Port of Spain,4/15/1989,West Indies
RJ Shastri,5,0,15,0,3,3,Pakistan,Karachi,11/15/1989,India
SR Tendulkar,4,0,15,0,3.75,3,Pakistan,Karachi,11/15/1989,India
TM Moody,16,8,15,0,0.93,2,Sri Lanka,Brisbane,12/8/1989,Australia
Wasim Akram,9,4,15,0,1.66,3,New Zealand,Lahore,10/18/1990,Pakistan
UC Hathurusinghe,2,0,15,0,7.5,3,New Zealand,Hamilton,2/22/1991,Sri Lanka
AH Jones,4,1,15,0,3.75,4,Sri Lanka,Hamilton,2/22/1991,New Zealand
AP Gurusinha,6,2,15,0,2.5,2,New Zealand,Auckland,3/1/1991,Sri Lanka
IT Botham,6,2,15,0,2.5,4,Sri Lanka,Lord's,8/22/1991,England
TM Moody,2,0,15,0,7.5,2,India,Perth,2/1/1992,Australia
AR Border,4,0,15,0,3.75,4,Sri Lanka,Colombo (RPS),8/28/1992,Australia
AP Gurusinha,3,0,15,0,5,1,Australia,Moratuwa,9/8/1992,Sri Lanka
GW Flower,5,0,15,0,3,2,India,Harare,10/18/1992,Zimbabwe
J Srinath,5,1,15,0,3,3,Zimbabwe,Harare,10/18/1992,India
A Kumble,9,1,15,0,1.66,3,Zimbabwe,Harare,10/18/1992,India
MD Crowe,4,0,15,0,3.75,4,Zimbabwe,Bulawayo,11/1/1992,New Zealand
AP Gurusinha,4,1,15,0,3.75,2,New Zealand,Colombo (SSC),12/6/1992,Sri Lanka
AR Border,12,5,15,0,1.25,3,New Zealand,Wellington,3/4/1993,Australia
MA Taylor,4,2,15,0,3.75,3,New Zealand,Wellington,3/4/1993,Australia
ME Waugh,6,3,15,0,2.5,3,England,Nottingham,7/1/1993,Australia
GW Flower,10,2,15,0,1.5,3,Pakistan,Lahore,12/16/1993,Zimbabwe
PR Reiffel,11,4,15,0,1.36,4,South Africa,Adelaide,1/28/1994,Australia
A Ranatunga,8,1,15,0,1.87,2,India,Ahmedabad,2/8/1994,Sri Lanka
CL Cairns,6,1,15,0,2.5,4,Pakistan,Auckland,2/10/1994,New Zealand
DK Morrison,8,1,15,0,1.87,4,India,Hamilton,3/19/1994,New Zealand
D Gough,10,5,15,0,1.5,4,South Africa,Leeds,8/4/1994,England
AP Gurusinha,4,0,15,0,3.75,1,Zimbabwe,Bulawayo,10/20/1994,Sri Lanka
M Prabhakar,4,1,15,0,3.75,2,West Indies,Nagpur,12/1/1994,India
RK Chauhan,5,3,15,0,3,4,West Indies,Nagpur,12/1/1994,India
WJ Cronje,7,3,15,0,2.14,3,New Zealand,Cape Town,1/2/1995,South Africa
ME Waugh,6,2,15,0,2.5,4,West Indies,St John's,4/8/1995,Australia
WKM Benjamin,5,0,15,0,3,3,Australia,Port of Spain,4/21/1995,West Indies
KCG Benjamin,2,0,15,0,7.5,3,England,Birmingham,7/6/1995,West Indies
PA de Silva,4,0,15,0,3.75,4,Pakistan,Faisalabad,9/15/1995,Sri Lanka
M Prabhakar,6,0,15,0,2.5,1,New Zealand,Bengaluru,10/18/1995,India
Aamer Sohail,8,2,15,0,1.87,3,Australia,Hobart,11/17/1995,Pakistan
PR Reiffel,8.5,2,15,0,1.76,3,Pakistan,Sydney,11/30/1995,Australia
SM Pollock,10,4,15,0,1.5,4,England,Gqeberha,12/26/1995,South Africa
UC Hathurusinghe,4,0,15,0,3.75,1,Australia,Adelaide,1/25/1996,Sri Lanka
DG Cork,3,0,15,0,5,4,Pakistan,The Oval,8/22/1996,England
CL Hooper,14,6,15,0,1.07,1,Australia,Sydney,11/29/1996,West Indies
ME Waugh,4,0,15,0,3.75,4,West Indies,Sydney,11/29/1996,Australia
ST Jayasuriya,3,0,15,0,5,2,Pakistan,Colombo (RPS),4/19/1997,Sri Lanka
ST Jayasuriya,10,6,15,0,1.5,2,India,Colombo (SSC),8/9/1997,Sri Lanka
GJ Whittall,5,0,15,0,3,2,New Zealand,Harare,9/18/1997,Zimbabwe
NJ Astle,7,2,15,0,2.14,1,Zimbabwe,Bulawayo,9/25/1997,New Zealand
BC Strang,8,4,15,0,1.87,4,New Zealand,Bulawayo,9/25/1997,Zimbabwe
JH Kallis,7,3,15,0,2.14,1,Pakistan,Rawalpindi,10/6/1997,South Africa
DL Vettori,2,0,15,0,7.5,1,Zimbabwe,Auckland,2/26/1998,New Zealand
NJ Astle,5,1,15,0,3,1,Zimbabwe,Auckland,2/26/1998,New Zealand
CD McMillan,2,0,15,0,7.5,3,Zimbabwe,Auckland,2/26/1998,New Zealand
MA Butcher,3,0,15,0,5,1,West Indies,Georgetown,2/27/1998,England
PA de Silva,4,0,15,0,3.75,1,South Africa,Cape Town,3/19/1998,Sri Lanka
SB Doull,3,0,15,0,5,4,Sri Lanka,Colombo (RPS),5/27/1998,New Zealand
L Klusener,3,0,15,0,5,3,England,Manchester,7/2/1998,South Africa
WJ Cronje,6,3,15,0,2.5,3,England,Manchester,7/2/1998,South Africa
Shoaib Akhtar,5,1,15,0,3,3,Zimbabwe,Lahore,12/10/1998,Pakistan
BKV Prasad,4,1,15,0,3.75,4,Pakistan,Delhi,2/4/1999,India
Shahid Afridi,2,0,15,0,7.5,1,Sri Lanka,Dhaka,3/12/1999,Pakistan
L Klusener,11,7,15,0,1.36,3,New Zealand,Wellington,3/18/1999,South Africa
AJ Tudor,5,2,15,0,3,3,New Zealand,Birmingham,7/1/1999,England
ST Jayasuriya,9,1,15,0,1.66,2,Australia,Galle,9/22/1999,Sri Lanka
DW Fleming,4,0,15,0,3.75,3,Sri Lanka,Galle,9/22/1999,Australia
WJ Cronje,5,2,15,0,3,1,England,Johannesburg,11/25/1999,South Africa
N Hussain,5,0,15,0,3,3,South Africa,Durban,12/26/1999,England
WJ Cronje,5,3,15,0,3,4,England,Centurion,1/14/2000,South Africa
AB Agarkar,7,1,15,0,2.14,2,South Africa,Wankhede,2/24/2000,India
AB Agarkar,4,1,15,0,3.75,4,South Africa,Wankhede,2/24/2000,India
RP Arnold,4,0,15,0,3.75,3,Pakistan,Karachi,3/12/2000,Sri Lanka
M Mbangwa,15,10,15,0,1,3,West Indies,Port of Spain,3/16/2000,Zimbabwe
GS Blewett,3,0,15,0,5,3,New Zealand,Wellington,3/24/2000,Australia
TR Gripper,6,2,15,0,2.5,2,West Indies,Kingston,3/24/2000,Zimbabwe
D Gough,2,0,15,0,7.5,4,Zimbabwe,Nottingham,6/1/2000,England
RD King,2.6666666666666665,0,15,0,5.62,4,England,Manchester,8/3/2000,West Indies
R Dravid,7,0,15,0,2.14,3,Zimbabwe,Nagpur,11/25/2000,India
JC Adams,8,3,15,0,1.87,2,Australia,Perth,12/1/2000,West Indies
GD McGrath,13,7,15,0,1.15,2,West Indies,Melbourne,12/26/2000,Australia
SM Pollock,7,3,15,0,2.14,2,Sri Lanka,Centurion,1/20/2001,South Africa
Younis Khan,6,1,15,0,2.5,1,New Zealand,Christchurch,3/15/2001,Pakistan
GJ Whittall,7,4,15,0,2.14,3,India,Harare,6/15/2001,Zimbabwe
KR Pushpakumara,8,5,15,0,1.87,3,Bangladesh,Colombo (SSC),9/6/2001,Sri Lanka
JH Kallis,11.333333333333334,5,15,0,1.32,4,India,Gqeberha,11/16/2001,South Africa
L Klusener,7,3,15,0,2.14,4,India,Gqeberha,11/16/2001,South Africa
PT Collins,2.5,0,15,0,6,4,Sri Lanka,Colombo (SSC),11/29/2001,West Indies
N Boje,2.1666666666666665,0,15,0,6.92,4,Australia,Sydney,1/2/2002,South Africa
Shoaib Akhtar,6,2,15,0,2.5,1,Bangladesh,Chattogram,1/16/2002,Pakistan
RO Hinds,12,3,15,0,1.25,3,Pakistan,Sharjah,2/7/2002,West Indies
DR Martyn,4,0,15,0,3.75,3,South Africa,Cape Town,3/8/2002,Australia
